ID_cliente,Recencia,Frequencia,Valor,R_quartil,F_quartil,V_quartil,RFV_Score,acoes de marketing/crm
12877,3,12,1535.77,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12878,236,2,854.99,D,C,B,DCB,
12879,44,3,573.22,B,B,C,BBC,
12881,275,1,298.0,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12882,9,2,1463.04,A,C,B,ACB,
12883,24,4,703.47,B,B,B,BBB,
12884,88,1,309.05,C,D,C,CDC,
12885,63,3,1175.22,C,B,B,CBB,
12886,67,2,1378.4,C,C,B,CCB,
12888,214,2,354.12,D,C,C,DCC,
12890,24,1,380.47,B,D,C,BDC,
12891,185,3,331.0,D,B,C,DBC,
12893,30,1,188.14,B,D,D,BDD,
12895,42,2,372.8,B,C,C,BCC,
12897,204,2,216.5,D,C,D,DCD,
12901,8,26,12532.14,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12902,264,1,138.68,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12904,18,2,509.58,B,C,C,BCC,
12906,11,5,2919.81,A,B,A,ABA,
12908,176,2,750.0,D,C,B,DCB,
12909,39,5,2178.67,B,B,A,BBA,
12910,23,8,3075.04,B,A,A,BAA,
12912,2,5,1662.3,A,B,A,ABA,
12913,4,5,2483.63,A,B,A,ABA,
12915,148,2,363.65,D,C,C,DCC,
12916,138,4,3006.15,C,B,A,CBA,
12917,128,1,594.0,C,D,C,CDC,
12919,8,6,1335.19,A,A,B,AAB,
12920,17,1,164.23,A,D,D,ADD,
12921,9,37,16587.09,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12922,161,1,405.38,D,D,C,DDC,
12923,64,1,176.97,C,D,D,CDD,
12924,88,4,933.7,C,B,B,CBB,
12925,4,2,694.05,A,C,B,ACB,
12928,35,5,2062.7,B,B,A,BBA,
12929,311,1,117.85,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12930,78,2,415.8,C,C,C,CCC,
12931,21,11,6693.82,B,A,A,BAA,
12933,24,3,607.53,B,B,C,BBC,
12935,2,7,2160.7,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12936,17,4,1063.9,A,B,B,ABB,
12937,15,4,1504.27,A,B,B,ABB,
12938,25,1,114.14,B,D,D,BDD,
12939,64,7,8205.72,C,A,A,CAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
12940,54,2,913.54,C,C,B,CCB,
12942,131,3,683.9,C,B,B,CBB,
12944,35,2,604.51,B,C,C,BCC,
12945,288,1,462.95,D,D,C,DDC,
12947,143,6,1603.99,C,A,A,CAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
12948,16,7,2064.95,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12949,30,8,4167.22,B,A,A,BAA,
12950,2,3,1843.0,A,B,A,ABA,
12951,8,6,1064.0700000000002,A,A,B,AAB,
12952,5,4,1387.79,A,B,B,ABB,
12953,9,1,329.85,A,D,C,ADC,
12955,1,11,4757.16,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12956,306,1,108.07,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12957,9,8,4017.54,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12962,7,2,266.39,A,C,D,ACD,
12963,8,8,1856.63,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12965,89,1,771.91,C,D,B,CDB,
12966,9,1,160.18,A,D,D,ADD,
12967,358,2,1660.9,D,C,A,DCA,
12968,112,1,135.95,C,D,D,CDD,
12970,7,3,445.64,A,B,C,ABC,
12971,3,86,11189.91,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12974,197,1,144.8,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12976,211,1,738.6,D,D,B,DDB,
12977,156,1,39.24,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12980,157,9,7374.9,D,A,A,DAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
12981,29,2,372.22,B,C,C,BCC,
12982,242,1,390.54,D,D,C,DDC,
12984,18,1,97.5,B,D,D,BDD,
12985,0,2,1239.38,A,C,B,ACB,
12987,73,2,558.7,C,C,C,CCC,
12988,292,1,535.32,D,D,C,DDC,
12989,3,15,6924.110000000001,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12990,31,3,409.5,B,B,C,BBC,
12991,23,2,503.76,B,C,C,BCC,
12993,23,4,414.76,B,B,C,BBC,
12994,4,3,974.4200000000001,A,B,B,ABB,
12995,85,1,211.32,C,D,D,CDD,
12997,22,4,1226.89,B,B,B,BBB,
12999,196,3,455.88,D,B,C,DBC,
13000,106,3,534.85,C,B,C,CBC,
13001,4,13,9818.82,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13002,318,1,120.95,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13003,105,3,149.05,C,B,D,CBD,
13004,11,18,5655.91,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13005,173,2,513.7,D,C,C,DCC,
13006,56,1,81.57,C,D,D,CDD,
13008,323,1,229.47,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13011,372,1,50.55,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13012,9,8,1661.84,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13013,1,13,4810.9400000000005,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13014,10,10,3466.2799999999997,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13015,53,5,3346.2799999999997,C,B,A,CBA,
13016,73,3,789.89,C,B,B,CBB,
13017,7,1,204.0,A,D,D,ADD,
13018,16,28,7277.7,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13021,4,9,2616.38,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13023,64,2,689.9000000000001,C,C,B,CCB,
13026,1,5,975.36,A,B,B,ABB,
13027,113,5,4896.0,C,B,A,CBA,
13028,22,2,661.3199999999999,B,C,B,BCB,
13029,30,3,1247.5,B,B,B,BBB,
13030,11,2,799.48,A,C,B,ACB,
13032,52,2,1010.1800000000001,C,C,B,CCB,
13033,357,1,190.55,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13034,54,2,642.77,C,C,C,CCC,
13035,73,2,921.88,C,C,B,CCB,
13037,138,3,881.0699999999999,C,B,B,CBB,
13038,80,3,908.46,C,B,B,CBB,
13040,8,2,676.99,A,C,B,ACB,
13043,273,1,516.42,D,D,C,DDC,
13044,291,1,560.47,D,D,C,DDC,
13045,99,1,305.28000000000003,C,D,C,CDC,
13046,30,2,629.31,B,C,C,BCC,
13047,56,9,3232.59,C,A,A,CAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
13048,14,4,1835.91,A,B,A,ABA,
13049,64,2,656.68,C,C,B,CCB,
13050,14,17,5836.86,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13052,212,1,348.15000000000003,D,D,C,DDC,
13055,78,3,1214.41,C,B,B,CBB,
13058,24,3,271.4,B,B,D,BBD,
13059,249,1,183.4,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13060,253,1,307.53,D,D,C,DDC,
13061,72,1,248.61,C,D,D,CDD,
13062,191,1,346.98,D,D,C,DDC,
13064,12,4,1119.49,A,B,B,ABB,
13065,373,1,205.86,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13066,24,2,470.8,B,C,C,BCC,
13067,82,1,115.46,C,D,D,CDD,
13068,10,2,344.0,A,C,C,ACC,
13069,0,22,4428.320000000001,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13070,192,1,228.8,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13072,266,1,177.15,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13075,129,1,919.61,C,D,B,CDB,
13077,1,3,719.6700000000001,A,B,B,ABB,
13078,3,26,12627.94,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13079,4,5,220.10000000000002,A,B,D,ABD,
13080,179,1,58.08,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13081,29,4,1656.79,B,B,A,BBA,
13082,126,9,3613.63,C,A,A,CAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
13083,4,2,303.75,A,C,C,ACC,
13085,157,2,416.08000000000004,D,C,C,DCC,
13089,2,93,48391.47,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13090,8,14,8910.82,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13091,28,1,345.82,B,D,C,BDC,
13092,70,5,477.83,C,B,C,CBC,
13093,275,8,7832.47,D,A,A,DAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
13094,21,12,1927.3200000000002,B,A,A,BAA,
13095,70,1,74.39999999999999,C,D,D,CDD,
13097,32,10,6010.42,B,A,A,BAA,
13098,1,25,22197.1,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13099,99,1,207.36,C,D,D,CDD,
13101,234,1,101.19,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13102,1,23,6415.59,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13103,39,1,243.94,B,D,D,BDD,
13104,3,6,1098.48,A,A,B,AAB,
13106,133,1,76.5,C,D,D,CDD,
13107,44,4,1531.6200000000001,B,B,B,BBB,
13108,372,1,350.06,D,D,C,DDC,
13109,59,2,786.54,C,C,B,CCB,
13110,31,6,1481.63,B,A,B,BAB,
13113,0,23,12243.41,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13115,11,4,2294.78,A,B,A,ABA,
13116,138,1,501.14,C,D,C,CDC,
13117,21,8,984.91,B,A,B,BAB,
13118,19,5,1197.81,B,B,B,BBB,
13120,238,1,30.6,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13121,269,1,283.73,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13122,94,2,922.39,C,C,B,CCB,
13124,89,3,3866.33,C,B,A,CBA,
13126,4,8,2099.64,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13127,77,1,259.17,C,D,D,CDD,
13130,94,1,64.0,C,D,D,CDD,
13131,23,3,1073.3,B,B,B,BBB,
13132,261,1,77.3,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13133,273,2,109.80000000000001,D,C,D,DCD,
13134,85,4,1793.58,C,B,A,CBA,
13136,56,5,2607.6099999999997,C,B,A,CBA,
13137,10,8,3650.41,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13138,22,6,962.39,B,A,B,BAB,
13139,16,7,5064.94,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13140,108,3,423.72,C,B,C,CBC,
13141,84,5,2388.75,C,B,A,CBA,
13142,19,1,307.09,B,D,C,BDC,
13144,332,1,110.95,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13145,39,4,618.52,B,B,C,BBC,
13146,26,1,228.91,B,D,D,BDD,
13147,10,4,712.8,A,B,B,ABB,
13148,29,12,3707.12,B,A,A,BAA,
13149,14,4,1676.06,A,B,A,ABA,
13151,295,1,1257.87,D,D,B,DDB,
13153,5,1,486.22,A,D,C,ADC,
13155,33,4,971.76,B,B,B,BBB,
13157,49,4,1741.22,B,B,A,BBA,
13158,94,4,1201.06,C,B,B,CBB,
13159,8,4,1437.85,A,B,B,ABB,
13160,22,1,91.8,B,D,D,BDD,
13161,313,1,112.75,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13162,122,3,1684.54,C,B,A,CBA,
13165,46,2,1021.48,B,C,B,BCB,
13166,283,1,417.2,D,D,C,DDC,
13167,18,4,791.3299999999999,B,B,B,BBB,
13168,36,4,1319.19,B,B,B,BBB,
13169,63,2,712.88,C,C,B,CCB,
13170,26,1,116.01,B,D,D,BDD,
13171,21,3,468.40999999999997,B,B,C,BBC,
13173,4,2,353.65,A,C,C,ACC,
13174,16,3,2817.03,A,B,A,ABA,
13176,46,1,492.84,B,D,C,BDC,
13177,64,1,282.45,C,D,D,CDD,
13178,26,11,5725.47,B,A,A,BAA,
13182,45,1,121.18,B,D,D,BDD,
13183,7,9,3957.78,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13184,14,9,1693.0,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13185,267,1,71.4,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13186,39,3,1575.89,B,B,A,BBA,
13187,337,1,236.02,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13188,11,1,114.6,A,D,D,ADD,
13189,18,2,260.68,B,C,D,BCD,
13192,95,2,911.94,C,C,B,CCB,
13193,61,1,117.88,C,D,D,CDD,
13194,135,1,60.7,C,D,D,CDD,
13196,11,4,1797.78,A,B,A,ABA,
13198,10,6,3401.24,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13199,3,38,9817.12,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13200,19,4,870.09,B,B,B,BBB,
13203,9,4,869.46,A,B,B,ABB,
13207,15,2,250.26000000000005,A,C,D,ACD,
13208,59,5,1217.42,C,B,B,CBB,
13209,30,8,5891.610000000001,B,A,A,BAA,
13210,93,1,353.48,C,D,C,CDC,
13211,10,3,1197.42,A,B,B,ABB,
13212,19,3,788.08,B,B,B,BBB,
13213,56,5,1520.5800000000002,C,B,B,CBB,
13216,267,1,333.74,D,D,C,DDC,
13217,122,3,533.98,C,B,C,CBC,
13218,127,1,62.63999999999999,C,D,D,CDD,
13220,78,4,819.29,C,B,B,CBB,
13221,240,2,847.4100000000001,D,C,B,DCB,
13223,200,2,163.2,D,C,D,DCD,
13224,60,2,2155.95,C,C,A,CCA,
13225,3,7,6463.84,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13226,273,1,108.21,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13227,201,1,257.7,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13228,81,1,358.0,C,D,C,CDC,
13229,225,1,160.95,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13230,4,13,2799.18,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13232,12,7,1357.6,A,A,B,AAB,
13233,74,2,605.12,C,C,C,CCC,
13235,212,1,1031.07,D,D,B,DDB,
13236,24,2,744.85,B,C,B,BCB,
13238,17,4,700.73,A,B,B,ABB,
13239,261,1,329.56,D,D,C,DDC,
13240,96,4,663.65,C,B,B,CBB,
13242,112,3,270.4,C,B,D,CBD,
13243,203,1,600.07,D,D,C,DDC,
13244,92,1,121.74,C,D,D,CDD,
13245,50,1,430.5,B,D,C,BDC,
13246,18,6,1987.3,B,A,A,BAA,
13247,17,4,501.12,A,B,C,ABC,
13248,124,2,465.68000000000006,C,C,C,CCC,
13249,92,3,711.4100000000001,C,B,B,CBB,
13253,156,2,1030.4,D,C,B,DCB,
13255,9,2,399.51,A,C,C,ACC,
13258,11,3,698.58,A,B,B,ABB,
13259,61,1,292.32,C,D,D,CDD,
13260,61,1,557.62,C,D,C,CDC,
13261,268,2,944.1,D,C,B,DCB,
13262,263,1,200.29,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13263,1,34,7446.2699999999995,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13265,53,5,2107.6600000000003,C,B,A,CBA,
13266,11,12,3834.26,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13267,2,18,4511.53,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13268,17,10,3206.4900000000002,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13269,1,15,5346.23,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13270,366,1,590.0,D,D,C,DDC,
13271,37,1,217.38,B,D,D,BDD,
13272,31,2,276.56,B,C,D,BCD,
13273,113,1,138.98,C,D,D,CDD,
13276,63,2,590.9300000000001,C,C,C,CCC,
13277,15,4,258.4,A,B,D,ABD,
13278,40,1,542.73,B,D,C,BDC,
13279,78,1,137.75,C,D,D,CDD,
13280,122,3,814.86,C,B,B,CBB,
13282,18,3,1132.14,B,B,B,BBB,
13283,59,2,93.66,C,C,D,CCD,
13284,330,1,201.19,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13285,23,4,2709.12,B,B,A,BBA,
13291,155,1,361.11,D,D,C,DDC,
13292,38,2,578.94,B,C,C,BCC,
13294,189,2,873.74,D,C,B,DCB,
13295,359,1,201.2,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13296,137,1,87.4,C,D,D,CDD,
13297,7,4,2089.85,A,B,A,ABA,
13298,1,1,360.0,A,D,C,ADC,
13299,268,1,142.5,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13300,169,1,371.89,D,D,C,DDC,
13301,103,4,618.09,C,B,C,CBC,
13302,155,1,63.75,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13304,351,1,300.42,D,D,C,DDC,
13305,4,10,2000.86,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13307,120,1,15.0,C,D,D,CDD,
13308,22,3,1385.51,B,B,B,BBB,
13309,7,5,1456.79,A,B,B,ABB,
13310,28,3,1132.03,B,B,B,BBB,
13311,4,2,598.57,A,C,C,ACC,
13313,22,5,1555.3200000000002,B,B,A,BBA,
13314,1,3,775.94,A,B,B,ABB,
13316,37,3,3820.23,B,B,A,BBA,
13317,66,6,2273.6800000000003,C,A,A,CAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
13318,1,3,640.76,A,B,C,ABC,
13319,5,26,10845.55,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
13320,78,4,1548.7,C,B,A,CBA,
13321,72,2,567.36,C,C,C,CCC,
13322,17,1,199.48,A,D,D,ADD,
13323,3,5,787.85,A,B,B,ABB,
13324,36,10,7121.95,B,A,A,BAA,
13325,81,1,675.3,C,D,B,CDB,
13327,38,8,3627.77,B,A,A,BAA,
13328,316,1,1308.48,D,D,B,DDB,
13329,31,2,789.0,B,C,B,BCB,
13330,92,3,1140.9299999999998,C,B,B,CBB,
13332,14,1,350.9,A,D,C,ADC,
13334,82,3,3536.82,C,B,A,CBA,
13336,77,1,795.12,C,D,B,CDB,
13338,157,1,487.02,D,D,C,DDC,
13339,200,1,860.12,D,D,B,DDB,
13340,45,5,3757.07,B,B,A,BBA,
13341,260,1,775.85,D,D,B,DDB,
13343,177,1,353.43,D,D,C,DDC,
13344,67,3,2543.7200000000003,C,B,A,CBA,
13345,287,1,389.5,D,D,C,DDC,
13347,70,1,341.36,C,D,C,CDC,
13348,64,1,233.76,C,D,D,CDD,
13349,10,1,247.32,A,D,D,ADD,
13350,16,2,979.1200000000001,A,C,B,ACB,
13351,66,1,373.94,C,D,C,CDC,
13352,60,1,397.98,C,D,C,CDC,
13354,71,1,743.53,C,D,B,CDB,
13355,122,1,674.7,C,D,B,CDB,
13356,80,1,768.24,C,D,B,CDB,
13357,257,1,609.95,D,D,C,DDC,
13358,268,1,439.03,D,D,C,DDC,
13359,63,1,439.56,C,D,C,CDC,
13362,9,4,3090.7400000000002,A,B,A,ABA,
13363,17,2,992.5,A,C,B,ACB,
13364,71,1,134.95999999999998,C,D,D,CDD,
13365,33,2,2225.37,B,C,A,BCA,
13366,50,1,56.16,B,D,D,BDD,
13368,256,2,623.4,D,C,C,DCC,
13369,365,1,308.28000000000003,D,D,C,DDC,
13370,371,1,754.87,D,D,B,DDB,
13372,89,1,378.64,C,D,C,CDC,
13373,60,3,3312.25,C,B,A,CBA,
13375,88,1,778.65,C,D,B,CDB,
13376,99,3,1019.76,C,B,B,CBB,
13379,26,3,572.56,B,B,C,BBC,
13381,31,6,3639.31,B,A,A,BAA,
13382,280,1,222.99,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
13384,30,7,4151.93,B,A,A,BAA,
13385,329,1,534.57,D,D,C,DDC,
13388,131,2,677.0999999999999,C,C,B,CCB,
13389,11,3,797.96,A,B,B,ABB,
13390,74,1,544.08,C,D,C,CDC,
